case_id,status,district,age_band,language_preference,tenure,household_size,opened_date,closure_month,monthly_award,opened_year,opened_month,case_age_months,contact_attempts,months_since_review,payment_adjustments,total_payments,total_amount_paid,avg_payment_amount,min_payment_amount,max_payment_amount,std_payment_amount,distinct_payment_months,max_payments_in_single_month,multi_payment_months_count,has_same_month_multi_payments,post_closure_payment_count,is_post_closure_paid,total_post_closure_amount,total_excess_amount,avg_payment_to_award_ratio,max_payment_to_award_ratio,num_adjusted_payments,adjustment_rate,anomaly_score,priority_score
C-33818,Closed,Weybridge,18-29,English,Social tenancy,6,2022-03-04,2025-09,1788.56,2022,3,45,3,10,1,3,5330.01,1776.67,1685.91,1845.93,82.1479616302194,3,1,0,0,0,0,0.0,66.98000000000025,0.9933521939437314,1.0320760835532496,1,0.3333333333333333,0.14470472499046816,0.8347404511832424
C-33702,Closed,Ash Hill,60-74,English,Owner-occupier,4,2022-11-08,2025-09,1291.6,2022,11,37,5,8,3,6,7980.900000000001,1330.15,1260.83,1360.38,36.34356669343299,6,1,0,0,3,1,4062.5,262.07000000000085,1.0298467017652524,1.0532517807370705,2,0.3333333333333333,0.14463835039496842,0.834542248419977
C-30387,Closed,Weybridge,30-44,Other,Social tenancy,5,2021-05-07,2025-09,1116.54,2021,5,55,3,20,6,6,6624.8,1104.1333333333334,1063.49,1147.44,31.67412045608644,6,1,0,0,3,1,3343.0700000000006,46.50000000000023,0.9888882918062348,1.0276747810199367,0,0.0,0.141142459155276,0.8241030841800292
C-30121,Closed,Calder Central,30-44,Spanish,Social tenancy,2,2022-12-07,2025-09,531.08,2022,12,36,5,22,5,6,3059.3,509.8833333333334,413.46,545.56,49.56961999719856,6,1,0,0,3,1,1495.21,30.269999999999868,0.9600876201953252,1.0272651954507794,2,0.3333333333333333,0.13730886462389558,0.8126554960834476
C-32297,Closed,Northgate,60-74,English,Resident with family,5,2025-07-18,2025-07,1356.56,2025,7,5,2,1,1,1,1433.11,1433.11,1433.11,1433.11,0.0,1,1,0,0,0,0,0.0,76.54999999999995,1.05642949814236,1.05642949814236,1,1.0,0.13552148524632424,0.8073181598786735
C-31131,Suspended,Ash Hill,30-44,English,Resident with family,3,2022-03-04,,952.41,2022,3,45,5,6,3,6,9871.91,1645.3183333333334,1507.23,1755.97,81.88645636896658,6,1,0,0,0,0,0.0,4157.450000000001,1.7275315602874113,1.8437122667758636,1,0.1666666666666666,0.13507916064209702,0.8059973238244877
C-34091,Closed,Northgate,75+,English,Owner-occupier,1,2025-01-26,2025-09,432.81,2025,1,11,4,13,4,6,2632.83,438.805,407.08,456.77,19.373843965511853,6,1,0,0,3,1,1273.24,70.34999999999997,1.0138513435456666,1.0553591645294702,2,0.3333333333333333,0.13493746537414808,0.8055742042041323
C-32995,Active,Calder Central,60-74,English,Resident with family,4,2021-01-06,,778.27,2021,1,59,5,10,1,6,11332.8,1888.8,1724.76,2106.5,143.37069979601824,6,1,0,0,0,0,0.0,6663.18,2.426921248409935,2.7066442237269843,2,0.3333333333333333,0.13455025582380675,0.8044179485273553
C-32708,Closed,Ash Hill,45-59,Other,Private tenancy,3,2021-01-27,2025-09,1126.42,2021,1,59,4,21,3,6,6819.24,1136.54,1060.33,1188.7,44.84564103678304,6,1,0,0,3,1,3366.83,139.34999999999968,1.0089842154791284,1.0552902114664158,2,0.3333333333333333,0.13310745393183532,0.8001095633736677
C-33364,Active,Northgate,45-59,English,Private tenancy,3,2025-04-15,,871.28,2025,4,8,3,5,4,7,5781.34,825.9057142857143,735.56,903.71,66.70940909575471,6,2,1,1,0,0,0.0,44.86000000000013,0.947922268714666,1.0372210999908182,5,0.7142857142857143,0.13186690020334468,0.7964051162864256
C-34196,Closed,Northgate,30-44,English,Social tenancy,4,2025-02-21,2025-08,1406.73,2025,2,10,3,12,3,6,8412.96,1402.16,1356.32,1454.6,34.44739757949786,6,1,0,0,4,1,5581.7,65.66999999999985,0.9967513311012064,1.0340292735635124,2,0.3333333333333333,0.13042757479269795,0.7921071123365677
C-33728,Closed,Calder Central,30-44,English,Resident with family,5,2021-05-12,2025-09,1063.56,2021,5,55,2,15,4,6,6415.7,1069.2833333333333,1016.08,1105.59,36.951140532690815,6,1,0,0,3,1,3212.1800000000003,110.15000000000008,1.005381298030514,1.0395182218210537,1,0.1666666666666666,0.13015797749927804,0.7913020614263159
C-30954,Active,Ash Hill,60-74,English,Social tenancy,3,2025-08-04,,834.54,2025,8,4,2,3,1,6,10377.74,1729.6233333333332,1533.71,1859.51,115.58158601899645,6,1,0,0,0,0,0.0,5370.5,2.0725469520134845,2.2281855872696337,1,0.1666666666666666,0.1295079864423352,0.7893611076229243
C-33116,Closed,Northgate,60-74,Other,Private tenancy,2,2022-02-21,2025-08,859.62,2022,2,46,8,21,2,6,5229.13,871.5216666666666,855.36,896.62,15.216803102710722,6,1,0,0,4,1,3493.07,75.66999999999996,1.0138452649620375,1.0430422744933807,2,0.3333333333333333,0.12887379087795314,0.7874673211167363
C-32692,Closed,Northgate,75+,Other,No fixed abode,5,2025-04-14,2025-09,1069.54,2025,4,8,7,14,3,6,6581.91,1096.985,1024.18,1131.52,38.23360027515064,6,1,0,0,3,1,3273.25,210.0300000000002,1.0256605643547694,1.0579501467920789,0,0.0,0.12867024525034143,0.786859508661693
C-32884,Closed,Calder Central,18-29,English,Owner-occupier,4,2021-01-08,2025-09,1407.16,2021,1,59,2,15,2,3,3938.75,1312.9166666666667,1213.95,1382.48,88.02844559194105,3,1,0,0,0,0,0.0,0.0,0.933025858229815,0.9824611273771284,1,0.3333333333333333,0.1266116695577284,0.7807123466700508
C-33292,Closed,Northgate,45-59,English,Resident with family,6,2022-08-19,2025-08,1646.14,2022,8,40,2,16,1,2,3281.84,1640.92,1617.48,1664.36,33.14916590202519,2,1,0,0,0,0,0.0,18.2199999999998,0.996828945290194,1.011068317397062,1,0.5,0.12613744045609476,0.7792962398349446
C-32133,Active,Northgate,75+,Other,Social tenancy,3,2023-01-23,,1208.96,2023,1,35,6,15,2,8,9193.42,1149.1775,910.63,1244.7,147.54778564926008,6,2,2,1,0,0,0.0,118.40000000000008,0.9505504731339331,1.029562599258867,4,0.5,0.1252158478232397,0.7765442500855304
C-30596,Closed,Northgate,60-74,Spanish,No fixed abode,1,2021-12-21,2025-08,670.6,2021,12,48,5,17,2,6,3808.2,634.6999999999999,557.65,673.08,43.30954352103012,6,1,0,0,4,1,2589.42,2.480000000000018,0.9464658514762898,1.0036981807336711,1,0.1666666666666666,0.12328043539817912,0.7707648688657014
C-33152,Closed,Calder Central,18-29,English,Private tenancy,1,2021-01-08,2025-09,628.9,2021,1,59,1,11,2,3,1748.12,582.7066666666666,468.25,647.28,99.3941418461537,3,1,0,0,0,0,0.0,22.07000000000005,0.9265490009010442,1.0292256320559707,3,1.0,0.12322171158195039,0.7705895122769586
C-33743,Active,Calder Central,60-74,English,Resident with family,3,2023-10-24,,654.1,2023,10,26,5,9,2,6,9868.07,1644.6783333333333,1466.9,1825.22,130.95812650105626,6,1,0,0,0,0,0.0,5943.47,2.514414207817357,2.790429597920807,1,0.1666666666666666,0.12286999570850698,0.7695392451156166
C-33201,Active,Calder Central,60-74,Spanish,Private tenancy,4,2022-04-16,,977.78,2022,4,44,6,19,2,6,11343.16,1890.5266666666664,1686.98,2189.45,234.56715683715532,6,1,0,0,0,0,0.0,5476.4800000000005,1.933488787525483,2.2392051381701403,2,0.3333333333333333,0.12272987380293132,0.7691208237501831
C-32001,Closed,Calder Central,18-29,English,No fixed abode,4,2021-02-14,2025-09,1407.33,2021,2,58,3,0,0,3,3884.83,1294.9433333333334,1091.28,1459.38,187.1588924773102,3,1,0,0,0,0,0.0,52.05000000000018,0.9201419235952716,1.0369849289079325,0,0.0,0.12262928194915312,0.7688204440155768
C-32814,Closed,Calder Central,18-29,English,Owner-occupier,6,2022-07-21,2025-08,1652.45,2022,7,41,1,22,0,2,3252.9,1626.4499999999998,1577.32,1675.58,69.48031231939024,2,1,0,0,0,0,0.0,23.12999999999988,0.9842657871645132,1.0139973978032617,0,0.0,0.12208515657591601,0.7671956182561676
C-33350,Closed,Calder Central,75+,English,Owner-occupier,2,2024-09-03,2025-08,854.16,2024,9,15,3,23,2,6,4848.87,808.145,702.35,861.02,64.40285110148461,6,1,0,0,4,1,3163.76,6.860000000000014,0.9461283600262248,1.0080312821953732,3,0.5,0.12125711719866739,0.7647229901154239
C-30097,Closed,Calder Central,45-59,Spanish,Social tenancy,4,2021-04-10,2025-10,1394.97,2021,4,56,4,20,3,6,8082.27,1347.045,1153.48,1458.99,126.09958108574354,6,1,0,0,2,1,2381.81,121.12000000000012,0.965644422460698,1.04589346007441,0,0.0,0.12078523167317157,0.7633138814889386
C-32252,Active,Ash Hill,18-29,Spanish,Resident with family,3,2023-10-12,,857.1,2023,10,26,8,18,1,8,6829.7,853.7125,635.18,890.3,88.55096914045768,6,2,2,1,0,0,0.0,194.81999999999985,0.9960477190526194,1.0387352700968382,4,0.5,0.1198365824954829,0.7604810975454499
C-32104,Closed,Calder Central,60-74,English,Social tenancy,1,2021-03-26,2025-08,394.39,2021,3,57,5,13,2,6,2349.95,391.6583333333333,371.69,409.74,16.124115376251396,6,1,0,0,4,1,1559.5,34.50000000000006,0.9930736918616936,1.0389208651334974,1,0.1666666666666666,0.11894676097890466,0.7578239802843829
C-33333,Closed,Northgate,60-74,English,Owner-occupier,4,2021-12-24,2025-10,1259.64,2021,12,48,3,1,2,6,7078.02,1179.67,951.67,1300.22,155.2836980497309,6,1,0,0,2,1,2246.53,93.55999999999972,0.9365136070623352,1.0322155536502493,1,0.1666666666666666,0.11818900042504221,0.7555612134149479
C-30800,Closed,Calder Central,18-29,English,Owner-occupier,4,2022-12-29,2025-10,1369.92,2022,12,36,3,21,3,6,8309.7,1384.95,1300.09,1451.71,64.46134593692562,6,1,0,0,2,1,2900.83,212.9699999999998,1.0109714435879469,1.0597042163046018,1,0.1666666666666666,0.11781171905111354,0.7544346045026348
C-30333,Active,Northgate,60-74,Spanish,Resident with family,1,2021-11-23,,512.13,2021,11,49,7,21,1,8,3722.23,465.27875,387.8,522.32,56.989459034732256,6,2,2,1,0,0,0.0,18.029999999999973,0.9085168804795656,1.0198972917032785,4,0.5,0.11761436121188185,0.7538452695501087
C-33648,Closed,Calder Central,18-29,English,Private tenancy,2,2021-07-12,2025-08,517.28,2021,7,53,2,11,2,2,875.4100000000001,437.705,378.42,496.99,83.84165104528896,2,1,0,0,0,0,0.0,0.0,0.8461664862356946,0.9607755954222086,1,0.5,0.11697610530745683,0.7519393583656419
C-32738,Closed,Northgate,60-74,English,Resident with family,2,2023-01-25,2025-08,538.86,2023,1,35,3,15,2,6,3228.5,538.0833333333334,514.41,565.9,20.28927664227256,6,1,0,0,4,1,2114.55,50.00999999999988,0.99855868562026,1.0501800096500018,4,0.6666666666666666,0.11633142923686324,0.7500142757697992
C-31668,Closed,Ash Hill,60-74,English,No fixed abode,3,2023-06-07,2025-12,912.22,2023,6,30,4,5,3,6,9574.07,1595.6783333333333,1492.35,1675.12,68.91868989371945,6,1,0,0,0,0,0.0,4100.75,1.749225333070239,1.836311416105764,1,0.1666666666666666,0.11534565788301554,0.7470706404103772
C-32018,Closed,Calder Central,18-29,English,No fixed abode,4,2025-06-07,2025-09,1383.69,2025,6,6,1,19,1,3,4018.99,1339.6633333333332,1327.86,1355.35,14.150449933953835,3,1,0,0,0,0,0.0,0.0,0.9681816977309464,0.9795185337756288,1,0.3333333333333333,0.11520612206190095,0.7466539691657365
C-33360,Active,Ash Hill,75+,English,Resident with family,4,2024-11-25,,1343.97,2024,11,13,2,2,2,6,11896.07,1982.6783333333333,1760.31,2163.76,146.7923866440855,6,1,0,0,0,0,0.0,3832.25,1.4752400227187612,1.6099764131639844,0,0.0,0.11515741175198302,0.7465085141471025
C-30499,Closed,Calder Central,45-59,English,Owner-occupier,4,2022-01-10,2025-08,1201.51,2022,1,47,3,10,1,6,6972.99,1162.165,883.16,1267.26,139.19880857967138,6,1,0,0,4,1,4549.29,94.59000000000016,0.9672537057535934,1.054722807134356,1,0.1666666666666666,0.11407345186957729,0.7432716756798555
C-33723,Closed,Calder Central,75+,English,Resident with family,2,2022-11-14,2025-09,631.57,2022,11,37,1,21,2,6,3837.54,639.59,624.32,655.07,12.09258119675035,6,1,0,0,3,1,1929.88,58.97999999999979,1.0126985132289372,1.0372088604588563,4,0.6666666666666666,0.11373408037854393,0.7422582703733549
C-31382,Closed,Weybridge,30-44,English,No fixed abode,1,2025-03-26,2025-10,405.56,2025,3,9,1,7,3,6,2202.69,367.115,287.89,424.06,60.42111112847892,6,1,0,0,2,1,820.9,21.110000000000014,0.9052051484367296,1.045615938455469,2,0.3333333333333333,0.11301537388348204,0.7401121237607021
C-33630,Suspended,Calder Central,45-59,English,No fixed abode,1,2025-08-03,,461.87,2025,8,4,1,10,2,8,3580.24,447.53,382.33,475.05,29.382784075032795,6,2,2,1,0,0,0.0,28.38000000000005,0.9689523025959684,1.0285361681858531,2,0.25,0.11242689065886258,0.738354839962938
C-30016,Closed,Northgate,75+,Other,No fixed abode,3,2023-10-16,2025-07,1034.77,2023,10,26,1,14,4,1,1022.43,1022.43,1022.43,1022.43,0.0,1,1,0,0,0,0,0.0,0.0,0.988074644607014,0.988074644607014,0,0.0,0.11229548334902395,0.7379624414597582
C-30492,Closed,Weybridge,18-29,English,No fixed abode,2,2022-05-09,2025-09,620.58,2022,5,43,4,6,2,6,3568.78,594.7966666666666,478.7,638.99,58.49592316278688,6,1,0,0,3,1,1688.15,23.999999999999886,0.958452845187835,1.0296657965129394,3,0.5,0.11047193518444376,0.7325171007771393
C-30974,Closed,Weybridge,75+,Other,Resident with family,3,2021-12-31,2025-08,1148.2,2021,12,48,7,0,2,2,2222.53,1111.265,1086.6,1135.93,34.881577515932584,2,1,0,0,0,0,0.0,0.0,0.9678322591882946,0.9893137084131683,1,0.5,0.1102128718973715,0.7317435057145748
C-30979,Closed,Calder Central,18-29,English,Owner-occupier,1,2023-01-14,2025-08,377.95,2023,1,35,3,18,2,6,2192.23,365.3716666666666,303.76,386.05,31.648797396846955,6,1,0,0,4,1,1522.86,22.49000000000001,0.9667195837191868,1.0214314062706709,1,0.1666666666666666,0.10944693927483251,0.729456336035886
C-31557,Closed,Northgate,60-74,English,Social tenancy,4,2022-05-15,2025-07,1009.98,2022,5,43,0,11,4,1,762.93,762.93,762.93,762.93,0.0,1,1,0,0,0,0,0.0,0.0,0.7553911958652646,0.7553911958652646,0,0.0,0.10904098040387933,0.7282440925654864
C-32155,Closed,Ash Hill,75+,English,Social tenancy,1,2023-06-22,2025-08,390.41,2023,6,30,5,8,1,6,2352.51,392.085,369.89,406.11,14.518718607370296,6,1,0,0,4,1,1544.31,41.11999999999989,1.0042903614149228,1.040214133859276,2,0.3333333333333333,0.10885777427121757,0.7276970163615969
C-32824,Closed,Calder Central,45-59,Spanish,Social tenancy,1,2021-06-16,2025-09,731.16,2021,6,54,3,5,4,4,2975.99,743.9975,726.52,752.83,12.403282831573266,3,2,1,1,0,0,0.0,55.99000000000012,1.0175577165052794,1.029637835767821,1,0.25,0.10871078745639462,0.727258095526869
C-33927,Closed,Northgate,60-74,Other,Social tenancy,4,2023-08-17,2025-08,1254.58,2023,8,28,4,7,3,6,7239.23,1206.5383333333332,1005.93,1290.67,101.94227198109073,6,1,0,0,4,1,5010.650000000001,36.09000000000015,0.9617069723200858,1.0287665991806023,0,0.0,0.10868947331818557,0.7271944488702251
C-33160,Closed,Calder Central,60-74,English,No fixed abode,4,2024-09-17,2025-09,1358.56,2024,9,15,2,4,2,6,8066.25,1344.375,1299.8,1365.42,27.595438572343827,6,1,0,0,3,1,4051.940000000001,19.320000000000164,0.9895587975503474,1.0050494641384995,0,0.0,0.10730671738434994,0.7230653683847742
C-31604,Closed,Northgate,30-44,English,Owner-occupier,2,2024-08-22,2025-07,571.68,2024,8,16,1,15,0,1,493.49,493.49,493.49,493.49,0.0,1,1,0,0,0,0,0.0,0.0,0.8632276798208789,0.8632276798208789,0,0.0,0.1070403483338408,0.7222699574077014
C-32765,Closed,Calder Central,18-29,English,No fixed abode,2,2022-10-04,2025-09,833.46,2022,10,38,4,7,2,6,4776.18,796.0300000000001,642.46,879.54,81.81830210900246,6,1,0,0,3,1,2267.73,51.20999999999992,0.9550908261944184,1.0552875962853645,3,0.5,0.10699427633434921,0.7221323807107793
C-32645,Closed,Northgate,75+,English,Social tenancy,1,2021-05-06,2025-10,722.36,2021,5,55,3,22,1,6,4269.38,711.5633333333334,680.65,756.48,26.0045831857899,6,1,0,0,2,1,1396.69,34.120000000000005,0.9850536205400816,1.0472340661166175,4,0.6666666666666666,0.10579431905942271,0.7185491596621234
C-30887,Closed,Northgate,60-74,English,Private tenancy,4,2022-02-08,2025-10,1397.64,2022,2,46,4,10,0,6,8225.44,1370.9066666666668,1315.99,1451.49,60.09494576640096,6,1,0,0,2,1,2650.07,97.69999999999982,0.9808725184358392,1.0385292349961364,0,0.0,0.10575837108570474,0.7184418145601149
C-33117,Closed,Ash Hill,18-29,Other,Owner-occupier,1,2022-01-26,2025-08,503.43,2022,1,47,7,12,3,2,1006.86,503.43,503.43,503.43,0.0,2,1,0,0,0,0,0.0,0.0,1.0,1.0,1,0.5,0.10564519146405982,0.7181038461915479
C-32586,Closed,Weybridge,45-59,Spanish,No fixed abode,1,2021-03-30,2025-10,683.04,2021,3,57,5,20,1,6,3961.4,660.2333333333333,519.27,707.26,71.39341472899774,6,1,0,0,2,1,1398.71,55.19000000000028,0.9666100570000782,1.0354591239166082,2,0.3333333333333333,0.10559048949124561,0.7179404993253831
C-32402,Closed,Calder Central,18-29,English,Private tenancy,4,2021-08-11,2025-07,1350.51,2021,8,52,1,14,0,1,1336.8,1336.8,1336.8,1336.8,0.0,1,1,0,0,0,0,0.0,0.0,0.9898482795388408,0.9898482795388408,0,0.0,0.10472315338830307,0.7153505262944572
C-30953,Closed,Weybridge,18-29,Other,Owner-occupier,3,2023-07-15,2025-08,779.7,2023,7,29,7,15,3,6,4455.82,742.6366666666667,571.87,818.03,88.68139617003482,6,1,0,0,4,1,2876.6400000000003,58.109999999999786,0.9524646231456542,1.0491599333076824,2,0.3333333333333333,0.1042620462046514,0.7139736031317151
C-33058,Closed,Northgate,60-74,English,Resident with family,1,2022-10-23,2025-08,527.64,2022,10,38,4,18,1,6,2957.97,492.995,394.15,539.6,55.931666075667714,6,1,0,0,4,1,1913.63,11.960000000000036,0.9343397013115003,1.0226669699037223,2,0.3333333333333333,0.10407611051835941,0.7134183761426054
C-33212,Closed,Calder Central,75+,English,Resident with family,5,2023-10-30,2025-07,1166.36,2023,10,26,2,17,0,1,1102.63,1102.63,1102.63,1102.63,0.0,1,1,0,0,0,0,0.0,0.0,0.9453599231798074,0.9453599231798074,0,0.0,0.10374765320754176,0.7124375619300503
C-33942,Closed,Calder Central,30-44,English,Owner-occupier,2,2022-03-06,2025-09,940.87,2022,3,45,4,19,2,6,5439.14,906.5233333333334,686.61,981.33,111.3329072047733,6,1,0,0,3,1,2612.38,89.61000000000001,0.9634947796542916,1.0430027527713712,2,0.3333333333333333,0.10313417530397084,0.7106056409251168
C-30600,Closed,Northgate,18-29,English,Owner-occupier,1,2022-02-06,2025-08,376.35,2022,2,46,3,6,0,6,2256.59,376.09833333333336,361.65,393.96,14.393789517242023,6,1,0,0,4,1,1495.2999999999995,36.1699999999999,0.9993312962224876,1.0467915504184933,0,0.0,0.10113390570886793,0.7046325881623853
C-33099,Closed,Ash Hill,45-59,English,Resident with family,1,2024-01-08,2025-07,424.99,2024,1,23,3,0,0,1,449.52,449.52,449.52,449.52,0.0,1,1,0,0,0,0,0.0,24.529999999999973,1.0577190051530625,1.0577190051530625,0,0.0,0.10079963279294213,0.7036344078326612
C-33301,Closed,Calder Central,60-74,English,Social tenancy,3,2022-02-22,2025-10,1125.03,2022,2,46,4,19,1,6,6725.28,1120.88,1067.96,1185.5,52.02384184198625,6,1,0,0,2,1,2211.02,121.16000000000008,0.9963112094788584,1.0537496777863702,1,0.1666666666666666,0.1002629983188078,0.7020319508257896
C-32200,Closed,Calder Central,75+,English,Social tenancy,1,2023-12-06,2025-07,400.76,2023,12,24,2,23,2,1,379.31,379.31,379.31,379.31,0.0,1,1,0,0,0,0,0.0,0.0,0.9464766942808664,0.9464766942808664,0,0.0,0.09986450600039687,0.7008420034060823
C-31118,Closed,Northgate,45-59,Spanish,Private tenancy,5,2021-08-12,2025-07,1247.29,2021,8,52,5,11,1,1,1314.43,1314.43,1314.43,1314.43,0.0,1,1,0,0,0,0,0.0,67.1400000000001,1.0538287006229503,1.0538287006229503,0,0.0,0.09938107283112452,0.6993984120849985
C-30098,Closed,Northgate,45-59,English,Resident with family,4,2023-11-08,2025-07,1113.47,2023,11,25,2,21,2,1,1114.34,1114.34,1114.34,1114.34,0.0,1,1,0,0,0,0,0.0,0.8699999999998909,1.0007813412126056,1.0007813412126056,0,0.0,0.09907792405540128,0.6984931722929298
C-32783,Closed,Calder Central,60-74,English,No fixed abode,3,2021-01-14,2025-09,1186.68,2021,1,59,1,13,0,3,3518.78,1172.9266666666665,1164.78,1183.89,9.8614518876956,3,1,0,0,0,0,0.0,0.0,0.988410242581544,0.9976489028213168,0,0.0,0.0987672644497446,0.6975655042323946
C-32923,Closed,Ash Hill,45-59,English,Resident with family,2,2022-08-17,2025-07,919.3,2022,8,40,3,10,4,1,911.47,911.47,911.47,911.47,0.0,1,1,0,0,0,0,0.0,0.0,0.9914826498422714,0.9914826498422714,0,0.0,0.09869447991480396,0.6973481605960289
C-33781,Suspended,Weybridge,45-59,English,Owner-occupier,6,2024-09-15,,1757.34,2024,9,15,3,8,1,6,10706.36,1784.3933333333334,1722.34,1853.42,60.55763524665295,6,1,0,0,0,0,0.0,240.56000000000017,1.015394478776636,1.0546735406921826,1,0.1666666666666666,0.09811613606704739,0.6956211542334324
C-31791,Active,Northgate,18-29,Spanish,Resident with family,2,2024-11-18,,796.83,2024,11,13,9,14,3,7,5521.34,788.7628571428571,754.44,837.14,32.27755552200613,6,2,1,1,0,0,0.0,73.00999999999988,0.989875954899862,1.050587954770779,4,0.5714285714285714,0.09751649416252206,0.6938305492353645
C-33503,Closed,Calder Central,30-44,Spanish,Resident with family,1,2022-02-16,2025-07,720.69,2022,2,46,6,21,2,1,760.41,760.41,760.41,760.41,0.0,1,1,0,0,0,0,0.0,39.71999999999992,1.0551138492278231,1.0551138492278231,0,0.0,0.09740223100474776,0.6934893452937093
C-31348,Active,Weybridge,60-74,English,Private tenancy,3,2024-04-10,,1055.38,2024,4,20,5,0,2,8,7751.639999999999,968.955,759.22,1069.07,112.02564604334388,6,2,2,1,0,0,0.0,13.689999999999827,0.9181100646212738,1.0129716310712726,3,0.375,0.09715908296953102,0.6927632751444355
C-30185,Closed,Ash Hill,75+,English,Resident with family,5,2024-02-28,2025-07,932.34,2024,2,22,0,1,0,1,979.72,979.72,979.72,979.72,0.0,1,1,0,0,0,0,0.0,47.38,1.0508183709805436,1.0508183709805436,0,0.0,0.09709761656756366,0.6925797288549828
C-30639,Closed,Calder Central,30-44,English,Resident with family,2,2021-05-16,2025-10,656.97,2021,5,55,2,20,3,6,3598.99,599.8316666666666,531.01,637.43,45.67342615423842,6,1,0,0,2,1,1152.34,0.0,0.9130274847659202,0.9702573937927148,1,0.1666666666666666,0.09674225557803229,0.6915185769255209
C-32492,Active,Calder Central,30-44,English,Resident with family,4,2024-01-16,,1183.48,2024,1,23,2,10,2,6,11337.24,1889.54,1705.32,2128.53,141.18421413175068,6,1,0,0,0,0,0.0,4236.360000000001,1.5965964781829858,1.798534829485923,1,0.1666666666666666,0.09655984544168028,0.6909738776652037
C-32394,Closed,Ash Hill,60-74,Spanish,Private tenancy,3,2021-08-03,2025-10,755.62,2021,8,52,5,4,2,6,4585.87,764.3116666666666,741.22,792.09,18.52581055356734,6,1,0,0,2,1,1543.93,69.6400000000001,1.011502695358337,1.0482650009263916,3,0.5,0.09584578048663583,0.6888415912659404
