case_id,status,district,age_band,language_preference,tenure,household_size,opened_date,closure_month,monthly_award,opened_year,opened_month,case_age_months,contact_attempts,months_since_review,payment_adjustments,total_payments,total_amount_paid,avg_payment_amount,min_payment_amount,max_payment_amount,std_payment_amount,distinct_payment_months,max_payments_in_single_month,multi_payment_months_count,has_same_month_multi_payments,post_closure_payment_count,is_post_closure_paid,total_post_closure_amount,total_excess_amount,avg_payment_to_award_ratio,max_payment_to_award_ratio,num_adjusted_payments,adjustment_rate
C-30078,Active,Weybridge,30-44,English,Resident with family,3,2025-07-07,,799.46,2025,7,5,2,4,1,6,4673.46,778.91,708.66,831.12,42.25356316335939,6,1,0,0,0,0,0.0,41.57999999999993,0.9742951492257274,1.0396017311685388,1,0.16666666666666666
C-30079,Active,Calder Central,30-44,Spanish,No fixed abode,1,2023-02-06,,537.95,2023,2,34,5,3,3,6,2966.7,494.45,426.59,545.39,48.688463931407824,6,1,0,0,0,0,0.0,7.439999999999941,0.9191374663072777,1.0138302816246862,3,0.5
C-30080,Active,Weybridge,30-44,Other,Private tenancy,1,2023-02-27,,666.52,2023,2,34,7,1,1,6,4048.71,674.785,636.2,706.22,27.21936424680048,6,1,0,0,0,0,0.0,92.61000000000013,1.0124002280501712,1.0595631038828544,1,0.16666666666666666
C-30081,Active,Northgate,45-59,Spanish,Resident with family,5,2022-03-15,,898.38,2022,3,45,4,22,1,6,5401.73,900.2883333333333,848.47,941.7,37.668768717157015,6,1,0,0,0,0,0.0,100.11000000000001,1.0021241939194254,1.0482201295665532,0,0.0
C-30082,Active,Weybridge,75+,English,Resident with family,3,2024-07-20,,918.28,2024,7,17,0,2,0,6,5417.32,902.8866666666667,876.54,944.73,23.468649442749516,6,1,0,0,0,0,0.0,26.450000000000045,0.98323677600151,1.0288038506773534,0,0.0
C-30083,Active,Weybridge,75+,English,Private tenancy,1,2022-05-11,,430.26,2022,5,43,4,11,1,6,2561.91,426.98499999999996,352.18,451.93,37.478070788128896,6,1,0,0,0,0,0.0,58.430000000000064,0.9923883233393762,1.050364895644494,2,0.3333333333333333
C-30084,Active,Northgate,30-44,Other,Social tenancy,3,2023-01-28,,858.18,2023,1,35,5,0,2,6,5193.32,865.5533333333333,837.22,909.16,27.611997150996984,6,1,0,0,0,0,0.0,87.1400000000001,1.008591826112626,1.0594047868745484,0,0.0
C-30085,Active,Weybridge,45-59,English,No fixed abode,1,2023-05-03,,525.82,2023,5,31,3,4,1,6,3015.05,502.5083333333334,453.13,530.27,25.925806769831997,6,1,0,0,0,0,0.0,4.449999999999932,0.9556660707720005,1.0084629721197367,2,0.3333333333333333
C-30086,Active,Northgate,18-29,English,Social tenancy,2,2021-01-29,,605.46,2021,1,59,1,14,1,6,3667.51,611.2516666666667,581.37,636.09,26.416247588684282,6,1,0,0,0,0,0.0,87.29999999999995,1.0095657296380713,1.0505896343276186,1,0.16666666666666666
C-30087,Active,Northgate,45-59,English,Resident with family,4,2023-02-10,,934.5,2023,2,34,2,9,1,6,5607.0,934.5,934.5,934.5,0.0,6,1,0,0,0,0,0.0,0.0,1.0,1.0,2,0.3333333333333333
C-30088,Active,Weybridge,60-74,English,No fixed abode,3,2021-06-27,,928.86,2021,6,54,2,15,1,6,5585.86,930.9766666666666,878.34,979.01,42.894019008093224,6,1,0,0,0,0,0.0,105.25999999999988,1.0022787790050887,1.0539909135930066,1,0.16666666666666666
C-30089,Active,Weybridge,30-44,English,Private tenancy,3,2022-12-17,,1237.37,2022,12,36,3,8,0,6,7481.71,1246.9516666666666,1210.23,1281.37,23.663017066018146,6,1,0,0,0,0,0.0,84.96000000000026,1.0077435744091636,1.0355592910770424,0,0.0
C-30090,Active,Northgate,45-59,English,No fixed abode,5,2023-08-05,,1156.37,2023,8,28,1,2,0,6,6741.780000000001,1123.63,999.42,1214.24,75.90003899867247,6,1,0,0,0,0,0.0,84.14000000000033,0.9716872627273277,1.0500445359184345,0,0.0
C-30091,Active,Northgate,18-29,English,Resident with family,2,2024-05-12,,547.8,2024,5,19,2,8,1,6,3381.7,563.6166666666667,548.17,576.4,10.946476449829243,6,1,0,0,0,0,0.0,94.9000000000002,1.0288730680296947,1.0522088353413654,2,0.3333333333333333
C-30092,Active,Northgate,45-59,English,Resident with family,3,2021-04-08,,1199.89,2021,4,56,3,8,0,6,7227.39,1204.565,1154.93,1248.69,33.799917603449835,6,1,0,0,0,0,0.0,91.9399999999996,1.0038961904841277,1.0406703947861886,0,0.0
C-30093,Active,Calder Central,30-44,Other,Owner-occupier,2,2021-02-09,,755.66,2021,2,58,6,11,0,6,4238.53,706.4216666666666,575.53,796.33,93.47249401116176,6,1,0,0,0,0,0.0,69.19000000000005,0.9348406249724303,1.0538205012836461,0,0.0
C-30094,Active,Calder Central,30-44,Other,Social tenancy,3,2022-06-13,,947.83,2022,6,42,5,18,2,6,5598.96,933.16,900.83,984.2,33.97073034245807,6,1,0,0,0,0,0.0,45.65999999999997,0.9845225409619868,1.0383718599326883,1,0.16666666666666666
C-30095,Active,Ash Hill,30-44,English,Owner-occupier,4,2023-10-29,,1386.99,2023,10,26,4,7,1,8,10394.89,1299.36125,943.64,1443.0,149.02125097136795,6,2,2,1,0,0,0.0,56.00999999999999,0.9368209215639622,1.0403824108320896,2,0.25
C-30096,Active,Ash Hill,18-29,Spanish,Resident with family,1,2023-03-01,,392.36,2023,3,33,4,21,1,6,2364.85,394.14166666666665,373.59,404.84,11.485593439899688,6,1,0,0,0,0,0.0,32.94999999999993,1.004540897814932,1.031807523702722,2,0.3333333333333333
C-30097,Closed,Calder Central,45-59,Spanish,Social tenancy,4,2021-04-10,2025-10,1394.97,2021,4,56,4,20,3,6,8082.27,1347.045,1153.48,1458.99,126.09958108574354,6,1,0,0,2,1,2381.81,121.12000000000012,0.965644422460698,1.04589346007441,0,0.0
C-30098,Closed,Northgate,45-59,English,Resident with family,4,2023-11-08,2025-07,1113.47,2023,11,25,2,21,2,1,1114.34,1114.34,1114.34,1114.34,0.0,1,1,0,0,0,0,0.0,0.8699999999998909,1.0007813412126056,1.0007813412126056,0,0.0
